Id,Label,timeset,format,impressions,likes,catégorie,sous-catégorie,indegree,outdegree,degree,modularity_class
https://www.linkedin.com/posts/antoine-khaitrine-62743192_aujourdhui-cest-soutenance-%C3%A0-la-d%C3%A9fense-activity-6982630235653480448-74R2?utm_source=share&utm_medium=member_desktop,Retard SNCF,,Photo,7697,29,TOFU,Entrepreneuriat,4,20,24,2
https://www.linkedin.com/posts/antoine-khaitrine-62743192_cartographie-tes-followers-en-1-clic-100-activity-6981555916626141184-Gra-?utm_source=share&utm_medium=member_desktop,Mention Map,,GIF / Vidéo,1732,7,MOFU,Outils gratuits,4,0,4,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_nordstream2-astroturfing-activity-6981190121270222848-8vlB?utm_source=share&utm_medium=member_desktop,NordStream 2,,Photo,4767,28,BOFU,Social data & expertise,11,3,14,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_le-hold-up-du-si%C3%A8cle-jai-encore-la-rage-activity-6980817286211239936-a4-C?utm_source=share&utm_medium=member_desktop,Léa & Poker,,Photo,14631,68,TOFU,Expérience perso,16,2,18,3
https://www.linkedin.com/posts/antoine-khaitrine-62743192_environnement-rechauffementclimatique-activity-6980440909893050368-xhSb?utm_source=share&utm_medium=member_desktop,Terre : pas en danger,,GIF / Vidéo,9960,49,MOFU,Marketing & communication,6,9,15,1
https://www.linkedin.com/posts/antoine-khaitrine-62743192_d%C3%A9cris-ton-m%C3%A9tier-en-1-ligne-javais-activity-6980100562566397952--17N?utm_source=share&utm_medium=member_desktop,Décris ton métier,,Photo,15301,89,TOFU,Expérience perso,10,19,29,2
https://www.linkedin.com/posts/antoine-khaitrine-62743192_retour-%C3%A9clair-l%C3%A0-o%C3%B9-tout-a-commenc%C3%A9-et-activity-6978359724983390208-fk1Y?utm_source=share&utm_medium=member_desktop,Lille,,Photo,8505,116,TOFU,Entrepreneuriat,25,2,27,2
https://www.linkedin.com/posts/antoine-khaitrine-62743192_jai-%C3%A9t%C3%A9-t%C3%A9moin-de-quelque-chose-dabsurde-activity-6977910772530085888-i42M?utm_source=share&utm_medium=member_desktop,Echelle EVENT,,GIF / Vidéo,2398,16,MOFU,Marketing & communication,6,6,12,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_la-minute-social-data-analyse-got-activity-6977537357201735680-vmNF?utm_source=share&utm_medium=member_desktop,Carrousel GoT,,Carrousel,2954,20,MOFU,Social data & expertise,10,5,15,1
https://www.linkedin.com/posts/antoine-khaitrine-62743192_cest-le-r%C3%A9seau-le-plus-sous-cot%C3%A9-alors-activity-6976448269707005952-pHQl?utm_source=share&utm_medium=member_desktop,Twitter : sous-côté,,GIF / Vidéo,3754,21,MOFU,Marketing & communication,5,14,19,4
https://www.linkedin.com/posts/antoine-khaitrine-62743192_le-coup-de-tonnerre-de-patagonia-activity-6976124447351021569-8Dcp?utm_source=share&utm_medium=member_desktop,Caroussel Patagonia,,Carrousel,3785,28,MOFU,Social data & expertise,12,3,15,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_le-buzz-%C3%A9tait-assur%C3%A9-et-jai-honte-inviter-activity-6975744108787064833-rGIP?utm_source=share&utm_medium=member_desktop,Magali Berdah,,Photo,3510,17,TOFU,Expérience perso,9,1,10,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_comment-tu-fais-des-cartographies-linkedin-activity-6975379691121590272-_Wfj?utm_source=share&utm_medium=member_desktop,Sondage - formation,,Sondage,2675,3,BOFU,Formation,1,4,5,5
https://www.linkedin.com/posts/antoine-khaitrine-62743192_data-linkedin-audit-th%C3%A9o-lion-activity-6974999027150938112-ndIa?utm_source=share&utm_medium=member_desktop,Carrousel Théo Lion,,Carrousel,23275,122,BOFU,Social data & expertise,8,19,27,3
https://www.linkedin.com/posts/antoine-khaitrine-62743192_comment-vendre-2x-fois-plus-cher-avec-activity-6973924936813805568-cTPn?utm_source=share&utm_medium=member_desktop,Dashboard Théo Lion,,GIF / Vidéo,4637,27,BOFU,Social data & expertise,3,4,7,3
https://www.linkedin.com/posts/antoine-khaitrine-62743192_sentimentanalysis-activity-6973533213646307328-MaY9?utm_source=share&utm_medium=member_desktop,Sentiment Analysis,,GIF / Vidéo,2553,21,MOFU,Outils gratuits,9,0,9,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_aujourdhui-pas-de-post-traditionnel-juste-activity-6973272793727549440-hBjE?utm_source=share&utm_medium=member_desktop,Alix Prevost,,Photo,7691,83,TOFU,Expérience perso,5,30,35,2
https://www.linkedin.com/posts/antoine-khaitrine-62743192_lors-de-notre-dernier-appel-de-d%C3%A9couverte-activity-6972875380282044416-18is?utm_source=share&utm_medium=member_desktop,Sondage - Audit,,Sondage,2922,3,MOFU,Marketing & communication,2,0,2,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_socialnetworkanalysis-activity-6972552683240980481-j1ad?utm_source=share&utm_medium=member_desktop,SNA - Planisphère,,GIF / Vidéo,3676,27,BOFU,Social data & expertise,5,0,5,1
https://www.linkedin.com/posts/antoine-khaitrine-62743192_socialnetworkanalysis-activity-6971463501546446849-Yt-j?utm_source=share&utm_medium=member_desktop,Cours SciencesPo,,GIF / Vidéo,3223,17,BOFU,Social data & expertise,8,0,8,0
https://www.linkedin.com/posts/antoine-khaitrine-62743192_moyenne-de-mes-posts-10000-vues-le-post-activity-6971095941013487617-BVry?utm_source=share&utm_medium=member_desktop,Résultats - CCE,,Texte,5279,24,TOFU,Expérience perso,9,3,12,5
https://www.linkedin.com/posts/antoine-khaitrine-62743192_ronaldom-crypto-activity-6970434616671223810-9I6h?utm_source=share&utm_medium=member_desktop,Vosibrain / Août,,Photo,3351,9,MOFU,Marketing & communication,4,0,4,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_la-premi%C3%A8re-fois-que-jai-rencontr%C3%A9-gr%C3%A9goire-activity-6970044421224472576-fX_c?utm_source=share&utm_medium=member_desktop,Grégoire Gambatto,,Photo,18701,55,TOFU,Expérience perso,9,3,12,3
https://www.linkedin.com/posts/antoine-khaitrine-62743192_photo-dandromeda-ii-la-protogalaxie-la-activity-6968944990261583874-gUNy?utm_source=share&utm_medium=member_desktop,Andromeda II,,Photo,2886,5,MOFU,Marketing & communication,2,0,2,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_rdvau1ervirage-activity-6968496644661116929-f9td?utm_source=share&utm_medium=member_desktop,Julien Fébreau,,Photo,17588,61,TOFU,Entrepreneuriat,10,3,13,2
https://www.linkedin.com/posts/antoine-khaitrine-62743192_boycottqatar2022-qatar-qatar2022-activity-6968125466788429825-HVQm?utm_source=share&utm_medium=member_desktop,Qatar 2022,,Photo,3363,13,MOFU,Marketing & communication,3,6,9,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_60-secondes-pour-tout-comprendre-sur-activity-6967764050076180480--Lem?utm_source=share&utm_medium=member_desktop,Carrousel SNA,,Carrousel,3679,27,BOFU,Social data & expertise,2,27,29,4
https://www.linkedin.com/posts/antoine-khaitrine-62743192_sciencespo-edhec-essec-activity-6967421550417297408-wj6r?utm_source=share&utm_medium=member_desktop,La rentrée approche,,Photo,2565,23,MOFU,Marketing & communication,11,0,11,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_regardez-ce-joli-conseil-re%C3%A7u-hier-un-activity-6966324189255319554-9bNU?utm_source=share&utm_medium=member_desktop,Screen hater,,Photo,2912,38,TOFU,Entrepreneuriat,14,2,16,5
